"Date","Confirmed","Deaths","Recovered","Active","In.ITU","Tests","Mortality_rate","Recovery_rate","Confirmed_change","Growth_rate","Growth_rate_change","Growth_rate_accel","Confirmed_per_test"
2020-05-10,496,5,433,58,0,729,0.0100806451612903,0.872983870967742,6,0.0120967741935484,0.0100559578670178,0.831292517006803,0.680384087791495
2020-05-11,503,5,434,64,0,729,0.0099403578528827,0.862823061630219,7,0.0139165009940358,0.0018197268004874,0.130760368663595,0.689986282578875
2020-05-12,506,5,434,67,1,729,0.00988142292490119,0.857707509881423,3,0.00592885375494071,-0.00798764723909507,-1.34724983432737,0.694101508916324
2020-05-13,508,6,436,66,0,729,0.0118110236220472,0.858267716535433,2,0.00393700787401575,-0.00199184588092496,-0.505928853754941,0.696844993141289
2020-05-14,522,6,443,73,0,729,0.0114942528735632,0.848659003831418,14,0.0268199233716475,0.0228829154976318,0.853205849268841,0.716049382716049
2020-05-15,532,6,448,78,0,729,0.0112781954887218,0.842105263157895,10,0.018796992481203,-0.0080229308904445,-0.426819923371648,0.729766803840878
2020-05-16,546,6,450,90,0,729,0.010989010989011,0.824175824175824,14,0.0256410256410256,0.00684403315982263,0.266917293233083,0.748971193415638
2020-05-17,553,6,454,93,0,729,0.0108499095840868,0.820976491862568,7,0.0126582278481013,-0.0129827977929244,-1.02564102564103,0.758573388203018
2020-05-18,558,6,456,96,0,729,0.010752688172043,0.817204301075269,5,0.00896057347670251,-0.00369765437139876,-0.412658227848101,0.765432098765432
2020-05-19,569,6,460,103,0,729,0.0105448154657293,0.808435852372584,11,0.0193321616871705,0.010371588210468,0.536493971977843,0.780521262002744
2020-05-20,584,6,465,113,0,729,0.0102739726027397,0.796232876712329,15,0.0256849315068493,0.00635276981967884,0.247334504979496,0.801097393689986
2020-05-21,599,6,468,125,0,729,0.010016694490818,0.781302170283806,15,0.0250417362270451,-0.000643195279804238,-0.0256849315068492,0.821673525377229
